Epoch	Train_Loss	Val_Loss
1	0.112172	0.007150
2	0.004026	0.003372
3	0.006873	0.003935
4	0.004120	0.004644
5	0.002393	0.004520
6	0.001441	0.002965
7	0.001180	0.002662
8	0.000976	0.002488
9	0.000811	0.002324
10	0.000715	0.001987
11	0.000652	0.001501
12	0.000603	0.001361
13	0.000557	0.001461
14	0.000526	0.001518
15	0.000497	0.001234
16	0.000465	0.001073
17	0.000448	0.001203
18	0.000427	0.000982
19	0.000411	0.000858
20	0.000394	0.000910
21	0.000379	0.000741
22	0.000369	0.000911
23	0.000360	0.000683
24	0.000347	0.000676
25	0.000335	0.000768
26	0.000329	0.000560
27	0.000319	0.000868
28	0.000309	0.000659
29	0.000302	0.000571

Final Test Loss: 0.001676
